Alt (m);Mach number;Throttle;Power (W);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);Nominal Power (W);;;Power (kW)
3000;0.2;1.208485767;1100000;76.5348;1.0292;1.0914;1.0001;3.1529;0.084188;0.3029853;-10;15.465;702.35;0.02967;1384.16;1000300;;;1100
3000;0.4;0.104446905;100010;173.907;0.70236;0.46139;0.9977;1.0482;0.017392;0.133341;-10;4.2874;510.17;0.018437;22.32;1000300;;;100.01
3000;0.4;0.313309383;300000;97.7171;0.8187;0.72809;0.9988;1.7005;0.029315;0.2373069;-10;7.209;574.8;0.019154;173.48;1000300;;;300
3000;0.4;0.522182304;500000;82.5571;0.88585;0.85329;0.99931;2.1345;0.041279;0.2808835;-10;9.4221;612.31;0.021488;361.66;1000300;;;500
3000;0.4;0.731055226;700000;76.6514;0.93909;0.93329;0.99964;2.5356;0.053656;0.3025247;-10;11.541;640.29;0.023512;594.15;1000300;;;700
3000;0.4;0.939928148;900000;75.1472;0.98151;0.99785;0.99989;2.8818;0.067633;0.30858;-10;13.574;670.73;0.026076;870.3;1000300;;;900
3000;0.4;1.148801069;1100000;75.2723;1.0211;1.067;1.0001;3.2129;0.0828;0.3080673;-10;15.613;699.75;0.028635;1191.68;1000300;;;1100
3000;0.6;0.289939113;300000;94.8718;0.80872;0.6785;0.9988;1.7287;0.028462;0.2444239;-10;7.2627;577.65;0.018293;61.94;1000300;;;300
3000;0.6;0.483231855;500000;80.5125;0.87785;0.81688;0.99931;2.1671;0.040256;0.2880166;-10;9.492;615.81;0.020641;223.23;1000300;;;500
3000;0.6;0.676524597;700000;75.1206;0.92736;0.90243;0.99964;2.5664;0.052584;0.3086895;-10;11.614;644.84;0.022766;431.44;1000300;;;700
3000;0.6;0.869817338;900000;73.2133;0.97089;0.96928;0.99989;2.9483;0.065892;0.3167311;-10;13.73;670.72;0.024832;688.38;1000300;;;900
3000;0.6;1.06311008;1100000;73.4897;1.0087;1.0271;1.0001;3.2893;0.080839;0.3155398;-10;15.802;698.86;0.027307;992.97;1000300;;;1100
4000;0;0.121070153;100010;169.8068;0.70572;0.50419;0.9977;0.94868;0.016982;0.1365607;-10;3.9422;504.75;0.019891;151.02;1000300;;;100.01
4000;0;0.363174142;300000;96.1321;0.82776;0.78384;0.9988;1.5652;0.02884;0.2412195;-10;6.7213;569.29;0.020475;385.71;1000300;;;300
4000;0;0.605290237;500000;81.6786;0.89817;0.89519;0.99931;1.9981;0.040839;0.2839045;-10;8.9121;605.98;0.022713;641.63;1000300;;;500
4000;0;0.847406331;700000;77.3145;0.95455;0.978;0.99964;2.3662;0.05412;0.2999299;-10;10.969;640.81;0.025416;939.02;1000300;;;700
4000;0;1.089522426;900000;76.5678;1.0017;1.0632;0.99989;2.6962;0.068911;0.3028547;-10;12.98;675.72;0.028403;1279.04;1000300;;;900
4000;0.2;0.11894116;100020;168.7726;0.70354;0.4965;0.9977;0.952;0.016881;0.1373975;-10;3.948;505.39;0.019703;90.68;1000300;;;100.02
4000;0.2;0.356752129;300000;95.6081;0.82521;0.77637;0.9988;1.5707;0.028683;0.2425415;-10;6.7324;569.75;0.020292;286.48;1000300;;;300
4000;0.2;0.594586881;500000;81.3448;0.89569;0.88804;0.99931;2.0034;0.040672;0.2850697;-10;8.924;606.72;0.02256;515.14;1000300;;;500
4000;0.2;0.832421633;700000;76.9141;0.9523;0.97133;0.99964;2.3774;0.05384;0.3014912;-10;10.995;640.7;0.025165;790.31;1000300;;;700
4000;0.2;1.070256386;900000;76.1617;0.99941;1.0541;0.99989;2.7121;0.068546;0.3044698;-10;13.018;674.98;0.028085;1111.02;1000300;;;900
4000;0.4;0.113142237;100020;165.7228;0.69353;0.4748;0.9977;0.96204;0.016576;0.139926;-10;3.9655;507.32;0.019145;29.63;1000300;;;100.02
4000;0.4;0.339358838;300000;94.0148;0.81817;0.75173;0.9988;1.5871;0.028205;0.246652;-10;6.7646;571.19;0.019746;186.61;1000300;;;300
4000;0.4;0.565598063;500000;80.3151;0.8889;0.87222;0.99931;2.0188;0.040158;0.2887243;-10;8.9588;609.18;0.022102;388.53;1000300;;;500
4000;0.4;0.791837289;700000;75.7089;0.94593;0.95374;0.99964;2.4108;0.052996;0.3062906;-10;11.072;640.59;0.024426;642.48;1000300;;;700
4000;0.4;1.018076514;900000;75.0269;0.99202;1.0281;0.99989;2.7543;0.067524;0.3090749;-10;13.121;673.83;0.027241;945.17;1000300;;;900
4000;0.6;0.314333613;300000;91.4224;0.80804;0.69846;0.9988;1.6134;0.027427;0.253646;-10;6.8156;573.77;0.018888;84.13;1000300;;;300
4000;0.6;0.523889355;500000;78.5156;0.88045;0.83829;0.99931;2.0472;0.039258;0.2953415;-10;9.0215;612.94;0.021307;259.88;1000300;;;500
4000;0.6;0.733445096;700000;73.9579;0.93502;0.92312;0.99964;2.4541;0.051771;0.3135423;-10;11.171;642.67;0.02344;490.64;1000300;;;700
4000;0.6;0.943000838;900000;73.2362;0.98067;0.99275;0.99989;2.8181;0.065913;0.316632;-10;13.275;673.38;0.025988;775.78;1000300;;;900
4000;0.6;1.15255658;1100000;74.379;1.0227;1.0645;1.0001;3.1664;0.081817;0.311767;-10;15.418;704.26;0.028711;1125.09;1000300;;;1100
5000;0;0.132532036;100010;161.6722;0.69536;0.51889;0.9977;0.86947;0.016169;0.1434318;-10;3.6428;501.86;0.020662;146.05;1000300;;;100.01
5000;0;0.397556354;300000;92.6222;0.82882;0.80062;0.9988;1.4605;0.027787;0.2503605;-10;6.3115;566.33;0.021142;383.32;1000300;;;300
5000;0;0.662593923;500000;79.6939;0.90478;0.91516;0.99931;1.8915;0.039847;0.2909749;-10;8.4901;603.92;0.023411;654.34;1000300;;;500
5000;0;0.927631492;700000;76.717;0.96366;1.0067;0.99964;2.25;0.053702;0.3022661;-10;10.544;643.19;0.026524;973.45;1000300;;;700
5000;0;1.192669061;900000;77.5448;1.0175;1.0902;0.99989;2.5475;0.06979;0.2990393;-10;12.516;687.13;0.030447;1338.54;1000300;;;900
5000;0.2;0.129959067;100010;160.9128;0.69239;0.51075;0.9977;0.87156;0.016093;0.1441087;-10;3.6463;502.64;0.020516;91.45;1000300;;;100.01
5000;0.2;0.389838217;300000;92.1377;0.82622;0.79323;0.9988;1.4656;0.027641;0.2516769;-10;6.3216;566.8;0.020959;291.92;1000300;;;300
5000;0.2;0.649730362;500000;79.3516;0.90158;0.90985;0.99931;1.8981;0.039676;0.2922302;-10;8.5066;604.37;0.023225;536.66;1000300;;;500
5000;0.2;0.909622507;700000;76.333;0.96121;0.99853;0.99964;2.2609;0.053433;0.3037864;-10;10.57;643;0.026265;834.07;1000300;;;700
