Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
2000;0;0.97691398;1900000;67.3512;0.994;1.0205;0.99995;5.5728;0.12797;0.3442986;-10;18.191;712.83;0.025515;2248.59;;;;1900
2000;0;1.079747031;2100000;67.2509;1.0124;1.055;1;5.8724;0.14123;0.3448124;-10;19.46;727.3;0.026722;2545.84;;;;2100
2000;0.2;0.050625095;100020;212.7307;0.671;0.35616;0.99701;1.5699;0.021278;0.1090061;-10;4.1859;495.34;0.015059;58.72;;;;100.02
2000;0.2;0.151855039;300020;115.3465;0.77435;0.55415;0.9981;2.4183;0.034606;0.2010372;-10;6.7335;563.46;0.015899;214.49;;;;300.02
2000;0.2;0.253079921;500010;91.7;0.817;0.67783;0.99861;3.003;0.04585;0.2528781;-10;8.5904;594.58;0.016964;376.9;;;;500.01
2000;0.2;0.354304803;700000;81.3801;0.85435;0.77036;0.99895;3.4634;0.056966;0.2849461;-10;10.164;618.9;0.018276;548.28;;;;700
2000;0.2;0.455534747;900000;75.5517;0.88193;0.83015;0.9992;3.873;0.067997;0.3069282;-10;11.61;637.81;0.019508;732.07;;;;900
2000;0.2;0.556764691;1100000;71.9075;0.9087;0.87841;0.9994;4.2534;0.079098;0.3224826;-10;12.988;654.06;0.020663;930.06;;;;1100
2000;0.2;0.657994635;1300000;69.4644;0.9332;0.91406;0.99957;4.6293;0.090304;0.3338249;-10;14.355;667.9;0.021675;1147.16;;;;1300
2000;0.2;0.759224579;1500000;68.0372;0.95323;0.95092;0.99971;4.9724;0.10206;0.3408272;-10;15.672;682.47;0.022805;1378.54;;;;1500
2000;0.2;0.860454522;1700000;67.348;0.97278;0.9809;0.99984;5.2879;0.11449;0.3443148;-10;16.953;697.93;0.024058;1625.3;;;;1700
2000;0.2;0.961684466;1900000;67.0146;0.9915;1.0127;0.99995;5.5967;0.12733;0.3460281;-10;18.231;712.76;0.025279;1888.86;;;;1900
2000;0.2;1.06291441;2100000;66.9292;1.0098;1.046;1;5.898;0.14055;0.3464695;-10;19.503;727.13;0.026479;2167.41;;;;2100
2000;0.4;0.145231871;300020;113.3954;0.76954;0.52713;0.9981;2.4336;0.03402;0.2044962;-10;6.7526;566.57;0.015533;55.88;;;;300.02
2000;0.4;0.242041824;500010;90.12;0.81096;0.65208;0.99861;3.0271;0.04506;0.2573117;-10;8.6224;596.91;0.016539;180.34;;;;500.01
